Rarity,Classification,Name
4,Character,Arlan
4,Character,Asta
4,Character,Dan Heng
4,Character,Gallagher
4,Character,Guinaifen
4,Character,Hanya
4,Character,Herta
4,Character,Hook
4,Character,Luka
4,Character,Lynx
4,Character,March 7th
4,Character,Misha
4,Character,Moze
4,Character,Natasha
4,Character,Pela
4,Character,Qingque
4,Character,Sampo
4,Character,Serval
4,Character,Sushang
4,Character,Tingyun
4,Character,Xueyi
4,Character,Yukong
5,Character,Bailu
5,Character,Bronya
5,Character,Clara
5,Character,Gepard
5,Character,Himeko
5,Character,Welt
5,Character,Yanqing
5,Light Cone,But the Battle Isn't Over
5,Light Cone,In the Name of the World
5,Light Cone,Moment of Victory
5,Light Cone,Night on the Milky Way
5,Light Cone,Sleep Like the Dead
5,Light Cone,Something Irreplaceable
5,Light Cone,Time Waits for No One
4,Light Cone,Post-Op Converstation
4,Light Cone,Good Night Sleep Well
4,Light Cone,Day One of My New Life
4,Light Cone,Only Silence Remains
4,Light Cone,Memories of the Past
4,Light Cone,The Moles Welcome You
4,Light Cone,The Birth of Self
4,Light Cone,Shared Feeling
4,Light Cone,Eyes of the Prey
4,Light Cone,Landau's Choice
4,Light Cone,Swordplay
4,Light Cone,Planetary Rendezvous
4,Light Cone,A Secret Vow
4,Light Cone,Make the World Clamor
4,Light Cone,Perfect Timing
4,Light Cone,Resolution Shines As Pearls of Sweat
4,Light Cone,Trend of the Universal Market
4,Light Cone,Subscribe for More!
4,Light Cone,Dance! Dance! Dance!
4,Light Cone,Under the Blue Sky
4,Light Cone,Geniuses' Repose
4,Light Cone,Indelible Promise
4,Light Cone,Concert for Two
4,Light Cone,Boundless Choreo
3,Light Cone,Arrows
3,Light Cone,Cornucopia
3,Light Cone,Collapsing Sky
3,Light Cone,Amber
3,Light Cone,Void
3,Light Cone,Chorus
3,Light Cone,Data Bank
3,Light Cone,Darting Arrow
3,Light Cone,Fine Fruit
3,Light Cone,Shattered Home
3,Light Cone,Defense
3,Light Cone,Loop
3,Light Cone,Meshing Cogs
3,Light Cone,Passkey
3,Light Cone,Adversarial
3,Light Cone,Multiplication
3,Light Cone,Mutual Demise
3,Light Cone,Pioneering
3,Light Cone,Hidden Shadow
3,Light Cone,Mediation
3,Light Cone,Sagacity
